DateTime,GPS_Y,GPS_Z,Acc_Y,Acc_Z,Fix
10:00.0,0,113.196,-0.000214418,-0.000427536,3
10:00.0,,,-9.92818E-05,-0.001476492,
10:00.0,,,-0.000110198,-0.001361616,
10:00.0,,,-0.000297326,-0.001641009,
10:00.0,,,-0.000232091,-0.0022341,
10:00.0,,,-9.07051E-05,-0.00153237,
10:00.0,,,-6.93933E-05,-0.001294042,
10:00.0,,,-0.000093564,-0.000737856,
10:00.0,,,-0.000196484,-0.000462102,
10:00.0,,,-0.000235469,0.000166856,
10:00.0,-0.000912188,113.195,-0.000178551,0.000247165,3
10:00.0,,,0.000126052,-0.000401546,
10:00.0,,,0.000161138,-0.000864168,
10:00.0,,,-7.09527E-05,-0.000849613,
10:00.0,,,-0.000059777,0.000604268,
10:00.0,,,-0.000175952,0.001453621,
10:00.0,,,-8.81061E-05,0.001005033,
10:00.0,,,3.6386E-06,-0.000497709,
10:00.0,,,-0.000149962,-0.000626619,
10:00.0,,,-0.000211299,0.000639874,
10:00.0,-0.002234148,113.193,-0.000209999,-0.000298625,3
10:00.0,,,-0.00015724,0.000240927,
10:00.0,,,-0.00018297,0.00169039,
10:00.0,,,-6.88735E-05,0.001146939,
10:00.0,,,-0.000126311,0.000459503,
10:00.0,,,-0.000302784,-0.000323316,
10:00.0,,,-0.000231311,-0.000302524,
10:00.0,,,-0.000289529,0.000833239,
10:00.0,,,-0.000486273,0.000505246,
10:00.0,,,-0.000293947,-0.000140606,
10:00.0,-0.002234148,113.193,-6.52349E-05,0.000964749,3
10:00.0,,,-0.000179851,0.000301224,
10:00.0,,,-0.00013125,-0.001768879,
10:00.0,,,-0.000324615,-0.002121564,
10:00.0,,,-0.000499008,-0.001232706,
10:00.0,,,-0.000353204,0.000489912,
10:00.0,,,-0.000223514,0.000204541,
10:00.0,,,3.06682E-05,-0.002255412,
10:00.0,,,7.04329E-05,-0.002589644,
10:00.0,,,-0.000134108,-0.002556636,
10:00.0,-0.000912188,113.194,-0.000224554,-0.001832035,3
10:00.0,,,-0.00023313,-0.000133069,
10:00.0,,,-0.000116175,-0.000354244,
10:00.0,,,4.54825E-05,-0.000483154,
10:00.0,,,-4.36632E-05,-0.000691854,
10:00.0,,,-0.000214677,-0.001449722,
10:00.0,,,-0.000191286,-0.002099732,
10:00.0,,,-0.000206621,-0.001655043,
10:00.0,,,-0.00010526,-0.0003124,
10:00.0,,,8.3168E-06,0.000187908,
10:00.0,-0.000502416,113.193,-0.000144764,0.00059699,3
10:01.0,,,8.5767E-06,-4.44429E-05,
10:01.0,,,8.21284E-05,-0.000948895,
10:01.0,,,-0.000108378,-0.000527077,
10:01.0,,,-1.14356E-05,-1.35148E-05,
10:01.0,,,0.000141386,0.001146939,
10:01.0,,,3.84652E-05,0.001736132,
10:01.0,,,-0.00015516,0.001153436,
10:01.0,,,-0.000315519,-0.000114096,
10:01.0,,,-0.000154641,-0.001215812,
10:01.0,-0.000912188,113.193,-0.000218836,-0.000480295,3
10:01.0,,,-0.000373736,-0.000374256,
10:01.0,,,-0.000194665,-0.000895096,
10:01.0,,,-0.000395568,2.75494E-05,
10:01.0,,,-0.000290048,0.000891717,
10:01.0,,,-6.86136E-05,-0.000296806,
10:01.0,,,-3.43068E-05,-0.001371752,
10:01.0,,,-0.000228972,-0.00148065,
10:01.0,,,-0.000431954,-0.001479351,
10:01.0,,,-0.000148923,-0.000289009,
10:01.0,-0.000912188,113.192,-8.03091E-05,0.000703809,3
10:01.0,,,-3.40469E-05,-0.000581656,
10:01.0,,,8.65467E-05,-0.001986936,
10:01.0,,,-4.1584E-06,-0.001697667,
10:01.0,,,-2.28712E-05,-0.001972641,
10:01.0,,,-0.000102401,-0.001814102,
10:01.0,,,-0.000225853,-0.001339005,
10:01.0,,,-0.00020818,0.000366979,
10:01.0,,,-0.000177252,0.002094014,
10:01.0,,,1.48143E-05,0.001112112,
10:01.0,-0.000912188,113.191,0.00007797,0.000188947,3
10:01.0,,,0.000169195,-0.0006747,
10:01.0,,,-3.8985E-06,-0.000932781,
10:01.0,,,-0.00028537,-0.000250804,
10:01.0,,,-6.93933E-05,0.000922125,
10:01.0,,,-0.000169975,0.001813582,
10:01.0,,,-0.000117995,0.001675056,
10:01.0,,,0.000222994,0.000377895,
10:01.0,,,0.000287969,-0.000306162,
10:01.0,,,0.000125012,0.000088366,
10:01.0,0,113.191,-0.000192846,-0.00044079,3
10:01.0,,,-0.000383612,0.000255742,
10:01.0,,,-0.000476397,0.001664919,
10:01.0,,,-0.000145024,0.001243102,
10:01.0,,,0.000216237,0.00067522,
10:01.0,,,3.3787E-06,0.00049277,
10:01.0,,,-0.00012969,-0.000117735,
10:01.0,,,-0.000107859,0.000274974,
10:01.0,,,-0.00025938,0.000891977,
10:01.0,,,-0.000333452,0.000917967,
10:01.0,0.000912188,113.193,-0.00023339,-0.000359442,3
10:01.0,,,-7.84898E-05,-0.001546665,
10:01.0,,,1.71534E-05,-0.00116981,
10:01.0,,,-3.30073E-05,0.000344627,
10:01.0,,,-0.000175173,0.001044538,
10:01.0,,,-0.000294727,-0.000271336,
10:01.0,,,-0.000124752,0.000698611,
10:01.0,,,-0.000107599,0.00111835,
10:01.0,,,-0.000152301,-0.000211559,
10:01.0,,,-5.50988E-05,-0.001178647,
10:01.0,0.000502416,113.193,-2.00123E-05,-0.001765761,3
10:01.0,,,-0.000142685,0.000920046,
10:01.0,,,-0.000299145,0.002064906,
10:01.0,,,-9.56432E-05,0.00096163,
10:01.0,,,5.69181E-05,0.00114408,
10:01.0,,,0.000215197,-0.000896395,
10:01.0,,,6.41953E-05,-0.001850488,
10:01.0,,,-8.47274E-05,-0.000658847,
10:01.0,,,-4.23637E-05,0.000145284,
10:01.0,,,-8.65467E-05,0.000247685,
10:01.0,-0.000409772,113.19,8.03091E-05,-0.000125272,3
10:01.0,,,3.87251E-05,0.000559305,
10:01.0,,,-9.22645E-05,0.000366719,
10:01.0,,,6.44552E-05,-9.69427E-05,
10:01.0,,,0.000267957,0.000295506,
10:01.0,,,0.000281472,0.000751371,
10:01.0,,,6.47151E-05,-0.000323576,
10:01.0,,,-0.000243526,0.00039037,
10:01.0,,,-0.000227932,0.002290239,
10:01.0,,,-0.000128391,0.001320812,
10:01.0,0,113.192,-0.00012943,0.000774762,3
10:01.0,,,-1.19554E-05,0.000776321,
10:01.0,,,9.04452E-05,0.00106533,
10:01.0,,,0.000028589,0.001856726,
10:01.0,,,8.10888E-05,0.001093919,
10:01.0,,,-0.000157499,0.000746433,
10:01.0,,,-0.000326954,0.000839997,
10:01.0,,,-1.22153E-05,-4.18439E-05,
10:01.0,,,0.000127871,-0.000135408,
10:01.0,,,0.000115915,9.69427E-05,
10:01.0,-0.000409772,113.191,0.000136188,-8.0569E-06,3
10:01.0,,,1.16955E-05,-0.000869106,
10:01.0,,,-0.000330593,-0.000837138,
10:01.0,,,-0.000291348,-0.001083263,
10:01.0,,,-0.00013073,-0.001904287,
10:01.0,,,-0.000120074,-0.001188003,
10:01.0,,,-5.04206E-05,-0.000978004,
10:01.0,,,1.68935E-05,-0.000811148,
10:01.0,,,-0.000152821,-0.000281472,
10:01.0,,,-0.000250804,-0.000432734,
10:01.0,-0.000409772,113.193,2.57301E-05,-0.000530976,3
10:02.0,,,0.000212858,-0.000187648,
10:02.0,,,-0.000111497,0.00127325,
10:02.0,,,-6.10765E-05,0.002375226,
10:02.0,,,0.000109938,0.001419054,
10:02.0,,,1.53341E-05,0.000762027,
10:02.0,,,0.000192846,0.000376335,
10:02.0,,,-3.87251E-05,0.001000875,
10:02.0,,,-9.17447E-05,0.002464112,
10:02.0,,,-0.00018115,0.002713876,
10:02.0,-0.000819544,113.19,-0.000239368,0.001492346,3
10:02.0,,,-1.06559E-05,0.000866507,
10:02.0,,,-4.99008E-05,0.001363435,
10:02.0,,,-7.51111E-05,0.002020463,
10:02.0,,,-8.00492E-05,0.003212364,
