DateTime,Displacement_Y,Displacement_Z
10:00.0,0,113.196
10:00.0,-4.96409e-09,113.196
10:00.0,-2.04022e-08,113.196
10:00.0,-5.62165e-08,113.196
10:00.0,-1.18502e-07,113.196
10:00.0,-1.96927e-07,113.196
10:00.0,-2.83356e-07,113.196
10:00.0,-3.77934e-07,113.196
10:00.0,-4.87014e-07,113.196
10:00.0,-6.17692e-07,113.196
10:00.0,-0.000907682,113.195
10:00.0,-0.00090849,113.195
10:00.0,-0.000909283,113.195
10:00.0,-0.000910071,113.195
10:00.0,-0.000910866,113.195
10:00.0,-0.000911673,113.195
10:00.0,-0.000912493,113.195
10:00.0,-0.000913317,113.195
10:00.0,-0.000914149,113.195
10:00.0,-0.000914998,113.195
10:00.0,-0.00222151,113.193
10:00.0,-0.00222549,113.193
10:00.0,-0.00222949,113.193
10:00.0,-0.0022335,113.193
10:00.0,-0.00223752,113.193
10:00.0,-0.00224156,113.193
10:00.0,-0.00224563,113.193
10:00.0,-0.00224973,113.193
10:00.0,-0.00225386,113.193
10:00.0,-0.00225804,113.193
10:00.0,-0.00223441,113.193
10:00.0,-0.00223853,113.193
10:00.0,-0.00224266,113.193
10:00.0,-0.00224681,113.193
10:00.0,-0.002251,113.193
10:00.0,-0.00225523,113.193
10:00.0,-0.0022595,113.193
10:00.0,-0.00226377,113.193
10:00.0,-0.00226804,113.193
10:00.0,-0.00227231,113.193
10:00.0,-0.00092504,113.194
10:00.0,-0.00092382,113.194
10:00.0,-0.000922618,113.194
10:00.0,-0.000921419,113.194
10:00.0,-0.000920221,113.194
10:00.0,-0.000919035,113.194
10:00.0,-0.000917869,113.194
10:00.0,-0.000916724,113.194
10:00.0,-0.000915593,113.194
10:00.0,-0.000914468,113.194
10:00.0,-0.000506256,113.193
10:01.0,-0.000503172,113.193
10:01.0,-0.000500082,113.193
10:01.0,-0.000496994,113.193
10:01.0,-0.000493912,113.193
10:01.0,-0.000490824,113.193
10:01.0,-0.000487726,113.193
10:01.0,-0.000484634,113.193
10:01.0,-0.000481566,113.193
10:01.0,-0.000478522,113.193
10:01.0,-0.000908136,113.193
10:01.0,-0.00090753,113.193
10:01.0,-0.000906952,113.193
10:01.0,-0.000906404,113.193
10:01.0,-0.00090589,113.193
10:01.0,-0.000905394,113.193
10:01.0,-0.000904903,113.193
10:01.0,-0.000904425,113.193
10:01.0,-0.000903981,113.193
10:01.0,-0.000903565,113.193
10:01.0,-0.000912105,113.192
10:01.0,-0.000911761,113.192
10:01.0,-0.000911415,113.192
10:01.0,-0.000911064,113.192
10:01.0,-0.000910715,113.192
10:01.0,-0.000910373,113.192
10:01.0,-0.000910046,113.192
10:01.0,-0.000909742,113.192
10:01.0,-0.000909456,113.192
10:01.0,-0.000909179,113.192
10:01.0,-0.000912158,113.191
10:01.0,-0.000911885,113.191
10:01.0,-0.000911604,113.191
10:01.0,-0.000911338,113.191
10:01.0,-0.000911089,113.191
10:01.0,-0.000910853,113.191
10:01.0,-0.00091063,113.191
10:01.0,-0.000910403,113.191
10:01.0,-0.00091015,113.191
10:01.0,-0.000909876,113.191
10:01.0,-8.2984e-06,113.191
10:01.0,-1.65012e-06,113.191
10:01.0,4.95516e-06,113.191
10:01.0,1.15294e-05,113.191
10:01.0,1.81071e-05,113.191
10:01.0,2.46959e-05,113.191
10:01.0,3.12783e-05,113.191
10:01.0,3.78489e-05,113.191
10:01.0,4.44011e-05,113.191
10:01.0,5.09236e-05,113.191
10:01.0,0.000904423,113.193
10:01.0,0.000917254,113.193
10:01.0,0.000930083,113.193
10:01.0,0.00094291,113.193
10:01.0,0.000955728,113.193
10:01.0,0.000968521,113.193
10:01.0,0.000981294,113.193
10:01.0,0.000994055,113.193
10:01.0,0.0010068,113.193
10:01.0,0.00101954,113.193
10:01.0,0.000507212,113.193
10:01.0,0.000515824,113.193
10:01.0,0.000524414,113.193
10:01.0,0.000532985,113.193
10:01.0,0.000541553,113.193
10:01.0,0.000550135,113.193
10:01.0,0.000558731,113.193
10:01.0,0.000567326,113.193
10:01.0,0.000575915,113.193
10:01.0,0.000584497,113.193
10:01.0,-0.000400722,113.19
10:01.0,-0.000400202,113.19
10:01.0,-0.000399684,113.19
10:01.0,-0.000399167,113.19
10:01.0,-0.000398634,113.19
10:01.0,-0.000398073,113.19
10:01.0,-0.000397495,113.19
10:01.0,-0.000396926,113.19
10:01.0,-0.000396381,113.19
10:01.0,-0.000395853,113.19
10:01.0,-3.55819e-06,113.192
10:01.0,2.23113e-07,113.192
10:01.0,4.00834e-06,113.192
10:01.0,7.79952e-06,113.192
10:01.0,1.15962e-05,113.192
10:01.0,1.5389e-05,113.192
10:01.0,1.91576e-05,113.192
10:01.0,2.29093e-05,113.192
10:01.0,2.66668e-05,113.192
10:01.0,3.04364e-05,113.192
10:01.0,-0.000405785,113.191
10:01.0,-0.000405759,113.191
10:01.0,-0.00040575,113.191
10:01.0,-0.000405772,113.191
10:01.0,-0.000405815,113.191
10:01.0,-0.00040587,113.191
10:01.0,-0.000405934,113.191
10:01.0,-0.000406,113.191
10:01.0,-0.000406072,113.191
10:01.0,-0.000406165,113.191
10:01.0,-0.000409741,113.193
10:02.0,-0.000409863,113.193
10:02.0,-0.00040998,113.193
10:02.0,-0.000410106,113.193
10:02.0,-0.000410229,113.193
10:02.0,-0.000410346,113.193
10:02.0,-0.000410453,113.193
10:02.0,-0.000410552,113.193
